rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		1							",https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,161936,2,4,60,60,60,2015,8.66514,8.47411,16385,//cf.geekdo-images.com/images/pic2452831.png,13,Action Point Allowance System* Co-operative Play* Hand Management* Point to Point Movement* Set Collection* Trading* Variable Player Powers,27059,Environmental* Medical,2.8067
"		2							",https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,182028,2,4,240,180,240,2015,8.76347,8.31014,6481,//cf.geekdo-images.com/images/pic2663291.jpg,14,Action Point Allowance System* Auction/Bidding* Card Drafting* Hand Management,8810,Card Game* Civilization* Economic,4.2953
"		3							",https://boardgamegeek.com/boardgame/12333/twilight-struggle,12333,2,2,180,180,180,2005,8.35709,8.22067,26641,//cf.geekdo-images.com/images/pic361592.jpg,13,Area Control / Area Influence* Campaign / Battle Card Driven* Dice Rolling* Hand Management* Simultaneous Action Selection,36086,Modern Warfare* Political* Wargame,3.528
"		4							",https://boardgamegeek.com/boardgame/120677/terra-mystica,120677,2,5,150,60,150,2012,8.29344,8.15103,23065,//cf.geekdo-images.com/images/pic1356616.jpg,12,Route/Network Building* Variable Phase Order* Variable Player Powers,26683,Civilization* Economic* Fantasy* Territory Building,3.9374
"		5							",https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,187645,2,4,240,180,240,2016,8.55971,8.13865,7581,//cf.geekdo-images.com/images/pic2737530.png,14,Area Control / Area Influence* Area Movement* Dice Rolling* Hand Management,12803,Movies / TV / Radio theme* Science Fiction* Wargame,3.56
"		6							",https://boardgamegeek.com/boardgame/169786/scythe,169786,1,5,115,90,115,2016,8.34953,8.08381,13424,//cf.geekdo-images.com/images/pic3163924.jpg,14,Area Control / Area Influence* Grid Movement* Variable Player Powers* Worker Placement,18158,Civilization* Economic* Exploration* Fighting* Science Fiction* Territory Building,3.3036
"		7							",https://boardgamegeek.com/boardgame/173346/7-wonders-duel,173346,2,2,30,30,30,2015,8.20024,8.02853,18919,//cf.geekdo-images.com/images/pic3376065.jpg,10,Card Drafting* Set Collection,29905,Ancient* Card Game* City Building* Civilization,2.2496
"		8							",https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,102794,1,7,210,30,210,2013,8.19146,8.01929,16373,//cf.geekdo-images.com/images/pic1790789.jpg,12,Tile Placement* Worker Placement,20766,Animals* Economic* Fantasy* Farming,3.7892
"		9							",https://boardgamegeek.com/boardgame/84876/castles-burgundy,84876,2,4,90,30,90,2011,8.11092,7.99332,24309,//cf.geekdo-images.com/images/pic1176894.jpg,12,Dice Rolling* Set Collection* Tile Placement* Variable Phase Order,33368,Dice* Medieval* Territory Building,3.0419
"		10							",https://boardgamegeek.com/boardgame/3076/puerto-rico,3076,2,5,150,90,150,2002,8.09437,7.98879,47307,//cf.geekdo-images.com/images/pic158548.jpg,12,Variable Phase Order,53832,City Building* Economic* Farming,3.2944
